run_id,algo,env,checkpoint,steps,mean_reward,std_reward,min_reward,max_reward,mean_ep_length
dqn_donkeykong,dqn,donkeykong,checkpoint_400000_steps,400000,4080.0,97.97958971132712,4000.0,4400.0,16413.0
dqn_donkeykong,dqn,donkeykong,checkpoint_500000_steps,500000,4020.0,156.8438714135812,3600.0,4200.0,14023.5
dqn_donkeykong,dqn,donkeykong,checkpoint_600000_steps,600000,3435.0,738.4273830242213,2500.0,4300.0,2997.75
dqn_donkeykong,dqn,donkeykong,checkpoint_700000_steps,700000,3785.0,588.4513573779909,2400.0,4200.0,3265.45
dqn_donkeykong,dqn,donkeykong,checkpoint_800000_steps,800000,3800.0,118.32159566199232,3500.0,4000.0,14012.95
dqn_donkeykong,dqn,donkeykong,checkpoint_900000_steps,900000,2535.0,1333.5197786309732,200.0,4100.0,4955.05
dqn_donkeykong,dqn,donkeykong,checkpoint_1000000_steps,1000000,3975.0,447.07381940793624,2800.0,4400.0,3339.1
dqn_donkeykong,dqn,donkeykong,checkpoint_1100000_steps,1100000,3100.0,604.1522986797286,2200.0,4200.0,4017.9
dqn_donkeykong,dqn,donkeykong,checkpoint_1200000_steps,1200000,4015.0,471.4604967545001,2300.0,4400.0,4562.85
dqn_donkeykong,dqn,donkeykong,checkpoint_1300000_steps,1300000,3940.0,536.0970061472084,2200.0,4200.0,3377.95
dqn_donkeykong,dqn,donkeykong,checkpoint_1400000_steps,1400000,2730.0,973.7042672187486,900.0,4300.0,12103.15
dqn_donkeykong,dqn,donkeykong,checkpoint_1500000_steps,1500000,3615.0,731.6249038954319,1600.0,4200.0,3135.6
dqn_donkeykong,dqn,donkeykong,checkpoint_1600000_steps,1600000,4015.0,424.5880356298326,2200.0,4300.0,3391.85
dqn_donkeykong,dqn,donkeykong,checkpoint_1700000_steps,1700000,3605.0,877.1972412177321,2000.0,4700.0,5426.9
dqn_donkeykong,dqn,donkeykong,checkpoint_1800000_steps,1800000,3405.0,901.373951254417,1600.0,4300.0,2974.85
dqn_donkeykong,dqn,donkeykong,checkpoint_1900000_steps,1900000,3545.0,821.2642692824278,2300.0,4500.0,3012.3
dqn_donkeykong,dqn,donkeykong,checkpoint_2000000_steps,2000000,3110.0,965.8674857349739,1000.0,4000.0,7810.7
dqn_donkeykong,dqn,donkeykong,final_model,final,3145.0,797.1668583176297,2000.0,4100.0,6559.35
ppo_donkeykong,ppo,donkeykong,checkpoint_100000_steps,100000,1225.0,764.7712076170232,300.0,3000.0,10402.95
ppo_donkeykong,ppo,donkeykong,checkpoint_200000_steps,200000,3100.0,939.1485505499116,900.0,4100.0,2722.0
ppo_donkeykong,ppo,donkeykong,checkpoint_300000_steps,300000,4095.0,354.22450508117026,2600.0,4300.0,6938.7
ppo_donkeykong,ppo,donkeykong,checkpoint_400000_steps,400000,4240.0,188.1488772222678,3500.0,4400.0,3455.45
ppo_donkeykong,ppo,donkeykong,checkpoint_500000_steps,500000,4250.0,111.80339887498948,4100.0,4500.0,3467.95
ppo_donkeykong,ppo,donkeykong,checkpoint_600000_steps,600000,4230.0,78.10249675906654,4100.0,4400.0,3450.8
ppo_donkeykong,ppo,donkeykong,checkpoint_700000_steps,700000,4285.0,123.59207094308275,4100.0,4500.0,3465.2
ppo_donkeykong,ppo,donkeykong,checkpoint_800000_steps,800000,4365.0,106.18380290797651,4200.0,4600.0,3452.4
ppo_donkeykong,ppo,donkeykong,checkpoint_900000_steps,900000,4430.0,176.351920885484,4100.0,4700.0,5806.3
ppo_donkeykong,ppo,donkeykong,checkpoint_1000000_steps,1000000,4365.0,90.96702699330126,4200.0,4600.0,3457.1
ppo_donkeykong,ppo,donkeykong,checkpoint_1100000_steps,1100000,4470.0,176.351920885484,4200.0,4700.0,3458.9
ppo_donkeykong,ppo,donkeykong,checkpoint_1200000_steps,1200000,4445.0,165.75584454250776,4000.0,4700.0,3452.3
ppo_donkeykong,ppo,donkeykong,checkpoint_1300000_steps,1300000,4490.0,186.81541692269406,4200.0,4900.0,3477.5
ppo_donkeykong,ppo,donkeykong,checkpoint_1400000_steps,1400000,4325.0,140.97872179871683,4000.0,4700.0,4643.7
ppo_donkeykong,ppo,donkeykong,checkpoint_1500000_steps,1500000,4380.0,426.14551505325034,2700.0,4800.0,16410.15
ppo_donkeykong,ppo,donkeykong,checkpoint_1600000_steps,1600000,4135.0,459.6466033813369,2200.0,4500.0,24649.0
ppo_donkeykong,ppo,donkeykong,checkpoint_1700000_steps,1700000,4285.0,212.77922830953213,3500.0,4500.0,3444.6
ppo_donkeykong,ppo,donkeykong,checkpoint_1800000_steps,1800000,4290.0,113.57816691600547,4100.0,4500.0,3457.75
ppo_donkeykong,ppo,donkeykong,checkpoint_1900000_steps,1900000,4330.0,195.19221295943134,3900.0,4600.0,17592.2
ppo_donkeykong,ppo,donkeykong,checkpoint_2000000_steps,2000000,4215.0,423.408785926792,2400.0,4500.0,3408.8
ppo_donkeykong,ppo,donkeykong,final_model,final,4330.0,130.7669683062202,4100.0,4600.0,3467.0
